Date,Open,Close,High,Low,Volume
2019-01-08,3976.76,3955.13,4069.8,3903,38901.423122
2019-01-09,3955.45,3966.65,4006.81,3930.04,28989.439511
2019-01-10,3966.06,3585.88,3996.01,3540,59402.22851
2019-01-11,3585.88,3601.31,3658,3465,38338.654733
2019-01-12,3601.31,3583.13,3618.19,3530,21999.928354
2019-01-13,3584.1,3476.81,3611.1,3441.3,26385.757454
2019-01-14,3477.56,3626.09,3671.87,3467.02,35235.211215
2019-01-15,3626.08,3553.06,3648.42,3516.62,34137.997459
2019-01-16,3553.06,3591.84,3645,3543.51,27480.179977
2019-01-17,3591.84,3616.21,3634.7,3530.39,29755.440838
2019-01-18,3613.32,3594.87,3620,3565.75,22713.446755
2019-01-19,3594.87,3665.3,3720,3594.23,22171.578123
2019-01-20,3665.75,3539.28,3693.73,3475,27901.938598
2019-01-21,3539.26,3526.9,3559.51,3475.5,19644.436839
2019-01-22,3526.88,3570.93,3608.5,3434.85,29336.442967
2019-01-23,3570.41,3552.82,3607.98,3514.5,24938.842698
2019-01-24,3552.97,3569.62,3589,3529.22,20826.25118
2019-01-25,3569.07,3565.29,3587.15,3522.51,17608.346671
2019-01-26,3566.69,3565.25,3662.94,3545,19476.532344
2019-01-27,3565.62,3550.84,3579,3486,22735.598162
2019-01-28,3550.05,3434.15,3557.75,3380.27,40405.111401
2019-01-29,3434,3411.04,3443.45,3349.92,29544.928977
2019-01-30,3410.04,3458.18,3478,3387.1,23968.260243
2019-01-31,3457.5,3434.1,3489.2,3418.8,29607.190253
2019-02-01,3434.1,3462.07,3488,3401.2,25260.476159
2019-02-02,3462.2,3504.77,3526.4,3440.29,17920.802
2019-02-03,3504.06,3458.11,3511.09,3426,19867.33639
2019-02-04,3458.11,3463.22,3484.88,3433.31,23131.981108
2019-02-05,3463.22,3471.59,3478.97,3448.43,25264.41503
2019-02-06,3471.57,3405.37,3482.72,3380,35310.244846
2019-02-07,3407,3398.4,3426.45,3390,18665.538638
2019-02-08,3398.4,3659.04,3733.58,3373.1,47968.058013
2019-02-09,3660.27,3665.18,3680.02,3625.13,24759.833719
2019-02-10,3665.18,3680.06,3684.99,3609.76,23250.602634
2019-02-11,3679.75,3631.05,3684.9,3615.53,24954.614571
2019-02-12,3631.05,3631.46,3667.6,3582.34,29479.59823
2019-02-13,3631.51,3609.4,3670,3591.75,25773.997648
2019-02-14,3608.34,3590.56,3626.4,3568.11,21753.501261
2019-02-15,3590.57,3602.47,3653.23,3573.45,20777.872899
2019-02-16,3602.49,3618.41,3648.2,3597.91,19565.992751
2019-02-17,3617.22,3667.58,3700.11,3604.4,25690.227779
2019-02-18,3667.62,3898.6,3925,3655,64042.730492
2019-02-19,3897.35,3907.79,3994.52,3856,50207.172667
2019-02-20,3907.35,3969.74,3986.98,3870.66,36205.14085
2019-02-21,3969.74,3937.31,4016.48,3901.03,31103.884728
2019-02-22,3937.31,3962,3988,3926.65,23943.16375
